的	dk
素	sde
药	kia
适	siu
波	bea
夜	ktu
省	sti
初	cja
喜	xji
卫	wgee
源	ye
食	sso
险	xgu
待	dpei
述	sieiu
陆	lge
习	xca
置	vye
居	jwe
劳	lee
财	cz
环	hie
排	poi
福	fv
纳	nd
欢	hhu
雷	lx
警	jfei
获	hiua
模	mke
充	ct
负	fm
云	yya
停	tlo
木	mko
游	keo
龙	ldo
树	ska
疑	kau
层	cwee
冷	lcu
洲	veou
冲	cci
射	snei
略	lrua
竟	jrua
范	fio
句	jdia
室	sjea
异	kae
激	jeu
汉	hea
村	ckei
哈	hsu
演	keoo
策	cy
简	jyo
卡	ku
罪	zy
判	pm
担	doi
州	vnu
静	jcu
退	tia
既	jve
衣	kjo
您	nou
宗	zje
积	jvi
余	yl
痛	ta
检	jkuo
差	ckeie
富	fje
灵	lgo
协	xa
角	jxi
占	vuia
配	pc
征	vpe
修	xli
皮	pg
挥	hoo
胜	swue
降	jgu
阶	jguo
审	sji
沉	ce
坚	jji
善	skou
妈	mwa
刘	lti
读	dfe
啊	rs
超	cua
免	mmi
压	kbei
银	kka
买	mn
皇	hc
养	kpee
伊	kla
怀	hoe
执	vou
副	fme
乱	lja
抗	koo
犯	ff
追	viu
帮	bbe
宣	xjei
佛	fla
岁	spu
航	hco
优	kle
怪	goao
香	xv
著	vie
田	tr
铁	tku
控	kooo
税	svou
左	zoe
右	kseu
份	flu
穿	cpe
艺	kiaa
背	bw
阵	vge
草	cii
脚	jwei
概	gkae
恶	roe
块	kja
顿	dhe
敢	gua
守	sjei
酒	jeei
岛	dpu
央	kni
托	toue
户	hau
烈	lu
洋	keou
哥	gse
索	sao
胡	hwe
款	kke
靠	kki
评	pf
版	bdu
宝	bje
座	zs
释	sno
景	jm
顾	ghe
弟	dpa
登	djei
货	hz
互	hra
付	fle
伯	blu
慢	mo
欧	rke
换	hou
闻	wgei
危	wme
忙	moo
核	hko
暗	rmo
姐	jwi
介	jlui
坏	hje
讨	tfe
丽	lria
良	lvo
序	xsa
升	siue
监	jri
临	ln
亮	ltia
露	lxi
永	kna
呼	hsuo
味	ws
野	kca
架	jka
域	yj
沙	sei
掉	doie
括	kou
舰	jci
鱼	yc
杂	zku
误	wf
湾	we
吉	jjia
减	jce
编	bdo
楚	ca
肯	khi
测	cei
败	bz
屋	wwe
跑	pa
梦	mwe
散	sue
温	wei
困	kge
剑	jmu
渐	jeea
封	fpe
救	jue
贵	gz
枪	qku
缺	qja
楼	lko
县	xci
尚	sjia
毫	ht
移	kvu
娘	nwoa
朋	pw
画	hri
班	bio
智	vmu
亦	ktui
耳	rge
恩	roi
短	dpeia
掌	voi
恐	koe
遗	kii
固	gge
席	xse
松	skuoa
秘	mvo
谢	xfu
鲁	lci
遇	yii
康	ksa
虑	lro
幸	xjou
均	jju
销	xki
钟	vkia
诗	sfei
藏	cie
赶	guee
剧	jma
票	pce
损	soi
忽	houa
巨	jga
炮	pu
旧	jmi
端	dwi
探	too
湖	heei
录	lgi
叶	ksei
春	cme
乡	xda
附	fgu
吸	xsua
予	ydo
礼	lva
港	gee
雨	yx
呀	ksea
板	bku
庭	tsu
妇	fwa
归	ggi
睛	jte
饭	fsu
额	rhi
含	hlo
顺	shui
输	sdu
摇	kouo
招	voa
婚	hwu
脱	two
补	bji
谓	wfi
督	dti
毒	dbe
油	kei
疗	laa
旅	lku
泽	ze
材	ckeiu
灭	mu
逐	vieu
莫	mii
笔	byu
亡	wta
鲜	xco
词	cf
圣	she
择	zoa
寻	xge
厂	cbu
睡	stu
博	bae
勒	lia
烟	kui
授	sou
诺	nf
伦	llu
岸	rpe
奥	rnu
唐	tsa
卖	ma
俄	rlue
炸	vuu
载	zde
洛	leu
健	jlaee
堂	tji
旁	pt
宫	gjia
喝	hsi
借	jle
君	jsa
禁	jvei
阴	kguae
园	yge
谋	mfe
宋	sjeiu
避	bia
抓	vouu
荣	rkei
姑	gwe
孙	shi
逃	tiu
牙	kra
束	sri
跳	tau
顶	dhei
玉	yio
镇	vke
雪	xxa
午	wne
练	lde
爷	klai
迫	pi
篇	py
肉	rgu
嘴	zsi
馆	gso
遍	bioa
凡	fr
础	cx
洞	dei
卷	jpe
坦	tjia
牛	nk
宁	nje
纸	vdua
诸	vfe
训	xfui
私	sva
庄	vse
祖	zv
丝	sra
翻	fq
暴	bme
森	ske
塔	tjei
默	mre
握	woa
戏	xhe
隐	kguaa
熟	suoe
骨	gne
访	ffo
弱	rq
蒙	mq
歌	gke
店	dsi
鬼	ggo
软	rd
典	dpia
欲	yk
萨	siai
伙	hlou
遭	zie
盘	pci
爸	bla
扩	kooe
盖	gki
弄	ni
雄	xq
稳	wvu
忘	woo
亿	klaa
刺	cmei
拥	koua
徒	tpe
姆	mwaa
杨	kkau
齐	qt
赛	sz
趣	que
曲	qmi
刀	dmu
床	cse
迎	kiu
冰	bci
虚	xri
玩	wie
析	xkuu
窗	cpu
醒	xcia
妻	qwe
透	tiue
购	gzu
替	tm
塞	sjo
努	ne
休	xle
虎	hru
扬	koa
途	tiuo
侵	qla
刑	xme
绿	lda
兄	xsuaa
迅	xia
套	tne
贸	mzu
毕	bnei
唯	wsu
谷	gsu
轮	ldu
库	kseae
迹	jio
尤	kwo
竞	jwia
街	jpei
促	cli
延	kiui
震	vx
弃	qta
甲	jmii
伟	wle
麻	mro
川	cn
申	smi
缓	hdu
潜	qee
闪	sgu
售	sqi
灯	due
针	vkei
哲	vsei
络	ldua
抵	dou
朱	vnee
埃	rjao
抱	boua
鼓	gjiae
植	vkeii
纯	cde
夏	xue
忍	roa
页	kho
杰	jko
筑	vyei
折	vouue
郑	vgo
贝	bzo
尊	zp
吴	wse
秀	xva
混	hei
臣	cgi
雅	kqe
振	voeu
染	rko
盛	sre
怒	noa
舞	wnee
圆	ygi
搞	goo
狂	kfe
措	coe
姓	xw
残	cq
秋	qv
培	pj
迷	mio
诚	cfe
宽	kje
宇	yje
猛	mfa
摆	boi
梅	mku
毁	hdui
伸	sli
摩	mooe
盟	mri
末	my
乃	ndu
悲	boie
拍	poui
丁	dri
赵	vuuo
硬	kxe
麦	mge
蒋	jioe
操	coi
耶	kga
阻	zg
订	dfei
彩	czu
抽	coia
赞	zzu
魔	mgo
纷	fdu
沿	keu
喊	hseu
违	wiee
妹	mwee
浪	leoa
汇	heea
币	bbu
丰	fye
蓝	lii
殊	squ
献	xfe
桌	vuiae
啦	lse
瓦	wwo
莱	lieo
援	you
译	kfa
夺	dne
汽	qeu
烧	suea
距	jae
裁	cjei
偏	pl
符	fyu
勇	kea
触	cxi
课	kfi
敬	juei
哭	kfia
懂	doe
墙	qje
召	vmi
袭	xdo
罚	fyo
侠	xleo
厅	tb
拜	boe
巧	qoe
侧	clia
韩	hq
冒	mmia
债	vlee
曼	mmiai
融	rhe
惯	goaa
享	xt
戴	dke
童	twi
犹	kfeu
乘	cne
挂	goei
奖	jno
绍	sda
厚	hb
纵	zdu
障	vgoe
讯	xfa
涉	seie
彻	cpea
刊	kme
丈	vru
爆	bui
乌	wna
役	kpu
描	moe
洗	xeu
玛	mia
患	hoi
妙	mwi
镜	jkoe
唱	csi
烦	fue
签	qy
仙	xlia
彼	bpa
弗	fqu
症	vae
仿	flo
倾	qle
牌	pdu
陷	xgua
鸟	nt
轰	hda
咱	zsu
菜	ciu
闭	bge
奋	fni
庆	qse
撤	coo
泪	lei
茶	ciuo
疾	jau
缘	yda
播	bouo
朗	lwo
杜	dkei
奶	nwa
季	jva
丹	dgo
狗	gfu
尾	wwu
仪	klou
偷	tlu
奔	bneie
珠	viue
虫	cho
驻	vfo
孔	kha
宜	kji
艾	riu
桥	qkue
淡	deo
翼	kqi
恨	hoa
繁	fdue
寒	hjee
伴	blo
叹	tsao
旦	dme
愈	youo
潮	cee
粮	lzoa
缩	sdo
罢	bye
聚	jgao
径	jpa
恰	qou
挑	touo
袋	dju
灰	hue
捕	boei
徐	xpu
珍	viuo
幕	mbe
映	kmi
裂	lje
泰	te
隔	ggei
启	qai
尖	jjeuo
忠	voia
累	lra
炎	kuo
暂	zmea
估	glei
泛	feu
荒	hio
偿	clio
横	hke
拒	joea
瑞	rii
忆	koaa
孤	ghu
鼻	bii
闹	ngo
羊	kkii
呆	dse
厉	lbe
衡	hpu
胞	bwu
零	lxu
穷	qpa
舍	slee
码	mx
赫	hiei
婆	pwo
魂	hge
灾	zjou
洪	heeii
腿	twa
胆	dwia
津	jea
俗	sluo
辩	bbo
胸	xwu
晓	xmea
劲	jeao
仁	rle
贫	pz
偶	rli
辑	jdiae
邦	bgee
恢	hoeu
赖	lze
圈	qgo
摸	moei
仰	klu
润	re
堆	djui
碰	pxo
艇	tcu
稍	svio
迟	cia
辆	ldei
废	fsa
净	jcua
凶	xguo
署	sye
壁	bja
御	yp
奉	fyeu
旋	xkue
冬	duo
矿	kxo
抬	toa
蛋	dai
晨	cmeu
伏	fleu
吹	csu
鸡	jhu
倍	bloe
糊	hze
秦	qve
盾	dtu
杯	bkeu
租	zvi
骑	qfe
乏	fno
隆	lgu
诊	vfu
奴	nwao
摄	soei
丧	saou
污	wee
渡	deoe
旗	qkuee
甘	gie
耐	np
凭	pru
扎	voaa
抢	qouo
绪	xdeie
粗	czi
肩	jai
梁	lkoo
幻	hdao
菲	fii
皆	jnu
碎	sxo
宙	vji
叔	shie
岩	kpeu
荡	dio
综	zdo
爬	ph
荷	hiui
悉	xouo
蒂	dioe
返	fiu
井	jyu
壮	vbe
薄	bioo
悄	qoi
扫	soa
敏	muu
碍	rx
殖	vqe
详	xfo
迪	diia
矛	mdo
霍	hx
允	ycu
幅	fb
撒	soeii
剩	smu
凯	kri
颗	khia
骂	mfi
赏	szi
液	keoe
番	fru
箱	xye
贴	tz
漫	mei
酸	sc
郎	lgoa
腰	kwe
舒	sleei
眉	mta
忧	koeu
浮	feuo
辛	xbi
恋	loo
餐	csie
吓	xsei
挺	touei
励	leeu
辞	cjo
艘	scu
键	jkae
伍	wlei
峰	fpu
尺	cwo
昨	zmu
黎	leue
辈	bdie
贯	gb
侦	vli
滑	heia
券	qmo
崇	cpo
扰	roeu
宪	xju
绕	rde
趋	quu
慈	coou
乔	qneu
阅	ygo
汗	heee
枝	vkeia
拖	touea
墨	mrei
胁	xwa
插	cou
箭	jyou
腊	lwe
泥	nea
粉	fzu
氏	sna
彭	pze
拔	boeu
骗	pfo
凤	fra
慧	hoee
媒	mwei
佩	plu
愤	fo
扑	poio
龄	lfu
驱	qfeu
惜	xoei
掩	koeuo
豪	hti
兼	jpea
跃	ya
尸	swuu
肃	sgi
帕	pb
驶	sfia
堡	bju
届	jwiae
欣	xhu
惠	hoei
册	cru
储	clo
飘	pje
桑	skao
闲	xgei
惨	coa
洁	jeeie
踪	zao
勃	bee
宾	bjui
频	phi
仇	clu
磨	mxo
递	diou
邪	xgea
撞	voo
拟	noao
滚	geo
奏	zye
巡	xiaa
颜	khoe
剂	jmo
绩	jdee
贡	goi
疯	fau
坡	pja
瞧	qtu
截	jqe
燃	ruu
焦	jqo
殿	dda
伪	wlo
柳	lkua
锁	ski
逼	bie
颇	pge
昏	hm
劝	qha
呈	csee
搜	soui
勤	qeei
戒	jkee
驾	jfau
漂	pee
饮	ksu
曹	cmeia
朵	dre
仔	zla
柔	rka
俩	llei
孟	mh
腐	fsui
幼	keaa
践	jaee
籍	jye
牧	mkue
凉	lco
牲	skue
佳	jlei
娜	nwae
浓	neo
芳	fioe
稿	gv
竹	vnei
腹	fwu
跌	dau
逻	liia
垂	cyu
遵	zio
脉	mwo
貌	mgu
柏	bkui
狱	yfo
猜	cfee
怜	lou
惑	hoeia
陶	tgua
兽	spi
帐	vbu
饰	ssue
贷	dz
昌	cmi
叙	xhuo
躺	tni
钢	gkia
沟	geu
寄	jjeuoe
扶	foe
铺	pk
邓	dha
寿	spee
惧	joi
询	xfua
汤	tea
盗	dro
肥	fwai
尝	cjoa
匆	cdu
辉	hjeu
奈	nne
扣	koi
廷	tiuei
澳	reu
嘛	mso
董	diu
迁	qiu
凝	ncu
慰	woae
厌	kbeu
脏	zw
腾	twou
幽	knaa
怨	youa
鞋	xie
丢	dc
埋	mj
泉	qci
涌	keao
辖	xdoo
躲	dnu
晋	jme
紫	zdi
艰	jha
魏	wgue
吾	wsei
慌	hoeii
祝	vvi
邮	kgia
吐	tse
狠	hfa
鉴	jki
曰	ym
械	xke
咬	ksoe
邻	lguo
赤	cio
挤	jooe
弯	wq
椅	kkeu
陪	pgo
割	gmo
揭	joia
韦	wqi
悟	woe
聪	cgo
雾	wx
锋	fkua
梯	tko
猫	mfei
祥	xvo
阔	kgo
誉	yfoo
筹	cye
丛	cruo
牵	qno
鸣	msu
沈	seoa
阁	ggu
穆	mvu
屈	qwa
旨	vmua
袖	xjia
猎	lfe
臂	bwa
蛇	shoo
贺	hza
柱	vko
抛	poua
鼠	spa
瑟	siee
戈	gko
牢	ljue
逊	xiai
迈	mie
欺	qhua
吨	dsea
琴	qiee
衰	stia
瓶	pwou
恼	noo
燕	kue
仲	vlia
诱	kfue
狼	lfo
池	cea
疼	taua
卢	lua
仗	vleu
冠	gje
粒	lzoe
遥	kiuo
吕	lsi
玄	xta
尘	cjeie
冯	fc
抚	foee
浅	qeee
敦	duoe
纠	jdai
钻	zki
晶	jmia
岂	qpae
峡	xpe
喷	pse
苍	ciuoa
凌	lce
耗	hy
敲	qro
菌	jii
赔	pzo
涂	teu
粹	czo
扁	bai
亏	kya
寂	jjie
煤	mue
熊	xua
恭	goeii
湿	seia
循	xpuu
暖	nm
糖	tzo
赋	fze
抑	kouaa
秩	vvu
帽	mbi
哀	rt
宿	sjui
踏	tai
烂	luo
袁	yji
侯	hla
抖	doo
夹	jro
昆	kmea
肝	gwee
擦	cooo
猪	vfei
炼	lue
恒	hoeiae
慎	soeiia
搬	bouu
纽	nda
纹	wdo
玻	biau
渔	yeu
磁	cxo
铜	tki
齿	cfi
跨	kaeu
押	koia
怖	boeui
漠	meei
疲	paa
叛	ppe
遣	qii
兹	zpe
祭	jvu
醉	zc
拳	qoo
弥	mqu
斜	xdu
档	dki
稀	xvu
捷	joeae
肤	fwe
疫	kaua
肿	vwia
豆	djee
削	xmio
岗	gpi
晃	hmi
吞	tsee
宏	hjeua
癌	ra
肚	dwe
隶	lgio
履	lwuu
涨	vea
耀	kjeu
扭	noai
坛	tjee
拨	boau
沃	weu
绘	hduo
伐	flea
堪	kjei
仆	pli
郭	ggoe
牺	xkei
歼	jqu
墓	mje
雇	gau
廉	lso
契	qnee
拼	poo
惩	couu
捉	voiae
覆	fcu
刷	smae
劫	jeeiea
嫌	xwo
瓜	gdo
歇	xkia
雕	dqu
闷	mgoa
乳	rha
串	csia
娃	wwei
缴	jdui
唤	hsua
赢	kzo
莲	liea
桃	tkuo
霸	bx
妥	tha
瘦	sau
搭	doei
赴	fui
岳	ypu
嘉	jjiae
舱	ccuo
俊	jlao
址	vjie
庞	pseu
耕	gye
锐	rkou
缝	fdua
悔	houe
邀	kiuia
玲	liu
惟	wou
宅	vju
斥	choo
添	tee
挖	wooo
呵	hsei
讼	sfuo
氧	kiou
浩	heue
羽	yq
斤	jhi
酷	kcu
掠	looe
妖	kwu
祸	hvi
侍	slei
乙	kda
妨	fwo
贪	tzu
挣	voua
汪	weee
尿	nwi
莉	liue
悬	xoi
唇	cni
翰	hai
仓	cla
轨	gdu
枚	mkueu
盐	krei
览	leii
傅	flei
帅	sbi
庙	msi
芬	fiuo
屏	pwoue
寺	sjeio
胖	pwouee
璃	lioe
愚	yoi
滴	deoeo
疏	saoe
萧	xiae
姿	zwo
颤	choe
丑	cdie
劣	ljua
柯	kkei
寸	cpoo
扔	roau
盯	dte
辱	rne
匹	pgu
俱	jli
辨	bbou
饿	rsu
蜂	fhua
哦	rsue
腔	qwo
郁	ygeu
溃	keia
糟	zzei
谨	jfeii
葛	giia
苗	miia
肠	cwa
忌	jao
溜	leua
鸿	heeie
爵	jhia
鹏	ptu
鹰	ksui
笼	lye
丘	qni
桂	gkei
滋	zeo
聊	lgua
挡	doio
纲	gdia
肌	jwu
茨	cioe
壳	kjoa
痕	haa
碗	wxo
穴	xpo
膀	bwo
卓	vuiaee
贤	xzi
卧	wue
膜	mweii
毅	kdo
欠	qko
锦	jkui
哩	lsia
函	hga
茫	mioo
昂	rmu
薛	xiui
皱	vgu
夸	kne
豫	ydoa
胃	wri
舌	sjee
剥	bma
傲	rlee
拾	souo
窝	wpia
睁	vt
携	xoui
陵	lgei
哼	hso
棉	mkui
晴	qme
铃	lkuo
填	tjeii
饲	ssa
吻	wsua
渴	keiae
扮	bouoa
逆	nio
脆	cwu
喘	csiai
罩	vyi
卜	buo
炉	luoa
柴	ckie
愉	youoe
绳	sdi
胎	twao
蓄	xio
眠	mtae
竭	jwiaee
喂	wsi
傻	slui
慕	moeii
浑	heo
奸	jwee
扇	saa
柜	gkea
悦	yoo
拦	loou
诞	dfu
饱	bsu
乾	qaia
泡	peu
贼	zzee
亭	tt
夕	xwoo
爹	dlua
酬	cco
儒	rleo
姻	kwi
卵	lna
氛	fiuoa
泄	xee
杆	gkee
挨	roao
僧	slo
蜜	mho
吟	ksuo
猩	xfi
遂	siou
狭	xfeo
肖	xjiae
甜	tjeiie
霞	xxae
驳	bf
裕	yju
顽	whe
於	yku
摘	vooe
矮	rpu
秒	mvi
卿	qgu
畜	cro
咽	ksi
披	poa
辅	fde
勾	gda
盆	pruo
疆	jqei
赌	dze
塑	sjou
畏	wre
吵	csiu
囊	nri
嗯	rsi
泊	peui
肺	fwei
骤	vfeii
缠	cdo
冈	gguo
羞	xka
瞪	dta
吊	dsia
漏	lea
贾	jcia
斑	bioe
涛	teee
悠	koui
鹿	lfa
俘	fluo
锡	xkiae
卑	bau
葬	zieu
铭	mkua
滩	teao
嫁	jwoo
催	cliai
璇	xioe
翅	cqe
盒	hleia
蛮	mhoe
矣	kcue
潘	peuo
歧	qhe
赐	czia
锅	gkiae
鲍	bcua
廊	lsoa
拆	couue
灌	geei
勉	meu
盲	mto
宰	zjoe
佐	zleu
啥	ssuo
胀	vwu
扯	coie
禧	xve
辽	liai
抹	moee
筒	tyi
棋	qkei
裤	kjoe
唉	rsa
朴	pki
咐	fsuie
孕	yha
誓	sfeie
喉	hsui
妄	wwoe
拘	joua
链	lke
驰	cfa
栏	lkou
逝	sieie
窃	qpe
艳	kye
纤	xdue
臭	cneu
玑	jiua
棵	kkia
趁	cuu
匠	jguu
盈	krau
翁	wqu
愁	coue
瞬	stuo
婴	kwia
孝	xjua
颈	jhao
倘	tli
浙	vee
谅	lfoe
蔽	biou
畅	cmia
赠	zzo
妮	nwaeu
莎	sioo
尉	wpa
冻	dce
跪	gaua
闯	cga
葡	piu
後	hpa
厨	cbe
鸭	kti
颠	dheii
遮	vioe
谊	kfoo
圳	vjui
吁	yse
仑	llua
辟	pba
瘤	lau
嫂	swui
陀	tgo
框	kkee
谭	tfei
亨	htia
钦	qkua
庸	ksae
歉	qkou
芝	vioa
吼	hsa
甫	fri
衫	sjuu
宴	kjia
摊	toao
嘱	vsa
衷	vti
娇	jwue
陕	sgeo
浦	peei
矩	jpeae
讶	kfea
耸	sguo
裸	lji
碧	bxe
摧	coiai
薪	xioeo
淋	leei
耻	cgie
胶	jwoe
屠	twe
鹅	rtu
盼	ptuo
饥	jsu
脖	bwe
虹	hhe
翠	cqo
崩	bpua
账	vzu
萍	pio
逢	fiua
赚	vzo
撑	coio
翔	xkao
倡	cliae
绵	mdu
枯	kkeii
猴	hfu
巫	wriu
昭	vmau
怔	voei
渊	yeuo
凑	ccee
溪	xeuo
蠢	chee
禅	cvo
阐	cgou
旺	wmee
寓	yjia
藤	tiua
伞	slou
匪	fgi
碑	bxu
挪	noae
琼	qio
脂	vwua
谎	hfe
慨	koae
菩	pioe
萄	tiuau
狮	sfiu
掘	joae
抄	coiu
岭	lpu
晕	ymo
砍	kxu
逮	dia
掏	touau
狄	dfo
晰	xmei
罕	hju
挽	woua
脾	pwu
舟	vco
痴	cau
蔡	ciua
剪	jmou
脊	jwoeu
弓	gq
懒	loe
叉	chooo
喃	nse
拐	goia
僚	lleu
捐	joiae
姊	zwu
骚	sfa
拓	toeu
歪	wheu
粘	vzi
柄	bkei
坑	kjoeu
陌	mgeu
窄	vpu
湘	xeei
兆	vno
崖	kpeue
骄	jfu
刹	smuo
鞭	biu
芒	mioe
筋	jyua
聘	pgi
棍	gkiaee
钩	gkuaa
嚷	rso
腺	xwui
弦	xqo
焰	kuu
耍	swe
俯	floe
厘	lbi
愣	loi
厦	sbe
恳	koaee
饶	rse
钉	dkeii
寡	gjeu
憾	hoeue
摔	soo
叠	dhao
惹	roei
喻	ysu
谱	pfou
愧	kouia
煌	huu
徽	hpi
溶	reo
坠	vja
煞	suu
巾	jbi
滥	leiiu
洒	seei
堵	djeie
瓷	cwoe
咒	vri
姨	kwea
棒	bkee
郡	jgae
浴	yeuou
